,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
4862,Kia, Ceed,"£18,999",2022,Manual,49.6 mpg,Tax: £180,"Mileage: 18,306",Petrol,black,1.5T GDi ISG GT-Line 5dr
4863,Kia, Xceed,"£18,099",2021,Semi-Auto,40.9 mpg,Tax: £180,"Mileage: 20,740",Petrol,black,1.4T GDi ISG 3 5dr DCT
4864,Kia, Ceed,"£13,499",2020,Manual,50.4 mpg,Tax: £180,"Mileage: 12,353",Petrol,black,1.0 2 ISG 5d 118 BHP
4865,Kia, Sportage,"£13,763",2017,Manual,61.4 mpg,Tax: £35,"Mileage: 30,382",Diesel,black,3 Isg Crdi 1.7
4866,Kia, Rio,"£8,256",2019,Manual,46.3 mpg,Tax: £180,"Mileage: 41,503",Petrol,black,1 Isg 1.2
4867,Kia, Ceed,"£12,295",2019,Manual,50.4 mpg,Tax: £180,"Mileage: 27,667",Petrol,black,1.0T GDi ISG 2 5dr (Rear Parki
4868,Kia, Ceed,"£13,500",2019,Manual,46.3 mpg,Tax: £180,"Mileage: 43,721",Petrol,black,1.4T GDi ISG GT-Line 5dr (Navi
4955,Kia, Sportage,"£32,380",2022,Automatic,48.7 mpg,Tax: £170,"Mileage: 13,302",Hybrid,black,e 1.6T GDi HEV 4 5dr Auto
4956,Kia, Sportage,"£25,999",2023,Manual,41.5 mpg,Tax: £180,"Mileage: 14,022",Petrol,black,e 1.6T GDi ISG 3 5dr
4957,Kia, Sportage,"£30,000",2022,Automatic,49.6 mpg,Tax: £170,"Mileage: 20,600",Hybrid,black,e 1.6T GDi HEV 3 5dr Auto
4958,Kia, Stonic,"£12,611",2018,Manual,56.5 mpg,Tax: £180,"Mileage: 27,587",Petrol,black,1.0T GDi First Edition 5dr
4959,Kia, Sportage,"£17,995",2021,Manual,38.7 mpg,Tax: £180,"Mileage: 47,000",Petrol,black,1.6 GDi ISG 2 5dr
4960,Kia, Sportage,"£15,495",2018,Manual,47.1 mpg,Tax: £180,"Mileage: 64,000",Diesel,black,1.6 CRDi ISG 2 5dr
4961,Kia, Niro,"£16,995",2020,Automatic,65.7 mpg,Tax: £170,"Mileage: 84,000",Hybrid,black,1.6 GDi Hybrid 3 5dr DCT
